"species","model_type","auc","kappa","accuracy","dist"
"Dungeness crab","Random forest",0.772817566842049,0.400840925017519,0.834782608695652,0.870586261543659
"Dungeness crab","Boosted regression trees",0.778401159669279,0.38894792773645,0.826086956521739,0.870165993282292
"Dungeness crab","Logistic regression",0.622597444432514,0.0562933597621408,0.8,0.625137201074458
"Rock crab","Boosted regression trees",0.699814890991362,0.23414513536902,0.80225988700565,0.737946357176609
"Rock crab","Random forest",0.712772521596051,0.167958328039639,0.790960451977401,0.732294112703539
"Rock crab","Logistic regression",0.546791443850267,0.0980215827338129,0.807909604519774,0.555507978115078
"Spiny lobster","Random forest",0.76551724137931,0.532110091743119,0.911764705882353,0.932286327575311
"Spiny lobster","Logistic regression",0.7,0.532110091743119,0.911764705882353,0.87928445325439
"Spiny lobster","Boosted regression trees",0.441379310344828,0.532110091743119,0.911764705882353,0.691344230709526
"Razor clam","Random forest",0.783923796791444,0.510695187165775,0.80327868852459,0.935599323091995
"Razor clam","Boosted regression trees",0.757185828877005,0.460176991150442,0.786885245901639,0.88605487563493
"Razor clam","Logistic regression",0.743148395721925,0.237788716395305,0.729508196721312,0.780264706179254
"Sea mussel","Logistic regression",0.638787878787879,0,0.96830985915493,0.638787878787879
"Sea mussel","Random forest",0.628080808080808,0,0.96830985915493,0.628080808080808
"Sea mussel","Boosted regression trees",0.626666666666667,-0.0161001788908804,0.957746478873239,0.626873453634328
"Bay mussel","Boosted regression trees",0.730072463768116,-0.0160427807486601,0.957894736842105,0.7302487063779
"Bay mussel","Random forest",0.693840579710145,0,0.968421052631579,0.693840579710145
"Bay mussel","Logistic regression",0.521739130434783,-0.0374414976599058,0.926315789473684,0.523080859881013
